retrieval_technique,rerank,top_k,sas,exact_match
none,True,10,0.923556923866272,0.7325
none,False,10,0.920198380947113,0.7225
none,True,5,0.9062590599060059,0.71
none,False,5,0.9011333584785461,0.695
HyDE,True,10,0.8699172735214233,0.6725
HyDE,False,10,0.8677302002906799,0.66
HyDE,True,5,0.85788893699646,0.6525
HyDE,False,5,0.8469619750976562,0.645
query_rewriting,True,10,0.6851119995117188,0.465
query_rewriting,False,10,0.6763476729393005,0.455
query_rewriting,True,5,0.6683477759361267,0.455
query_rewriting,False,5,0.6627729535102844,0.45
